uniqueID,PI,treatment,individual,plot,row,range,flowering,plant_height,alive,n_daughter_plants,dispersion,dry_vine_mass,tuber_mass,tuber_number,n_bags
230503_5_highN,230503,highN,5,275,18,14,,22,FALSE,0,0,59.9,,,1
498298_7_highN,498298,highN,7,276,18,13,,40,TRUE,39,93,662.2,6,5,3
310994_3_highN,310994,highN,3,277,18,12,7/22/23,34,TRUE,34,96,251.3,,,1
545916_11_highN,545916,highN,11,278,18,11,,29,TRUE,33,68,156.7,78,18,1
234011_13_highN,234011,highN,13,279,18,10,,29,TRUE,0,0,106.5,12,19,1
458342_19_highN,458342,highN,19,280,18,9,,18,TRUE,16,46,139.7,92,40,1
234011_12_highN,234011,highN,12,281,18,8,8/15/23,22,TRUE,0,0,118.9,30,14,1
310994_5_highN,310994,highN,5,282,18,7,8/24/23,36,TRUE,29,101,252.4,,,1
245320_10_highN,245320,highN,10,283,18,6,NA,NA,TRUE,NA,NA,,,,
498300_10_highN,498300,highN,10,284,18,5,,27,FALSE,8,67,112.6,70,10,1
545916_1_highN,545916,highN,1,285,18,4,,26,TRUE,15,73,191.1,206,72,1
365344_5_highN,365344,highN,5,286,18,3,NA,NA,TRUE,NA,NA,,,,
498300_3_highN,498300,highN,3,287,18,2,,30,TRUE,21,79,190.4,98,19,1
234011_15_highN,234011,highN,15,288,18,1,,19,TRUE,0,0,54.7,2,1,1
